seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
371,soldier_caught,0,16,130.51561,1,12,-1,0.8022621,3.5320046,0.8022621,7.1724997,12.0,18.0,15.0,2.5,2.0
372,intercepted,1,13,341.21988,1,9,13,8.883619,2.2489398,8.883619,2.2489398,12.0,18.0,15.0,2.5,2.0
373,soldier_caught,0,22,84.401566,1,14,-1,1.3443371,4.8864236,1.3443371,6.8270545,12.0,18.0,15.0,2.5,2.0
374,soldier_caught,0,14,105.0784,1,9,-1,1.5122018,4.1505256,1.5122018,9.970684,12.0,18.0,15.0,2.5,2.0
375,intercepted,1,18,369.53534,1,15,18,5.390362,2.077012,5.390362,2.077012,12.0,18.0,15.0,2.5,2.0
376,soldier_caught,0,17,72.33719,1,10,-1,1.5160093,2.9326997,1.5160093,7.0445485,12.0,18.0,15.0,2.5,2.0
377,intercepted,1,10,335.93008,1,8,10,4.761453,1.5827123,4.761453,1.5827123,12.0,18.0,15.0,2.5,2.0
378,soldier_caught,0,17,100.32849,1,12,-1,1.2279218,5.612124,1.2279218,6.793596,12.0,18.0,15.0,2.5,2.0
379,soldier_caught,0,10,85.853424,1,8,-1,1.9158075,2.5516055,1.9158075,9.327002,12.0,18.0,15.0,2.5,2.0
380,intercepted,1,15,411.56378,1,13,15,5.5330253,1.1810952,5.5330253,1.1810952,12.0,18.0,15.0,2.5,2.0
381,intercepted,1,21,325.64484,1,12,21,3.4428792,1.2670215,5.425768,1.2670215,12.0,18.0,15.0,2.5,2.0
382,intercepted,1,28,327.9663,1,9,28,2.5995877,2.4427593,6.324273,2.4427593,12.0,18.0,15.0,2.5,2.0
383,intercepted,1,20,329.4749,1,11,20,2.5942085,0.6538645,5.5581627,0.6538645,12.0,18.0,15.0,2.5,2.0
384,intercepted,1,34,341.70355,1,9,34,2.502206,1.1029791,5.1027985,1.1029791,12.0,18.0,15.0,2.5,2.0
385,soldier_caught,0,37,121.798584,1,10,-1,1.9033927,2.7570057,1.9033927,3.8033977,12.0,18.0,15.0,2.5,2.0
386,soldier_caught,0,15,78.34805,1,12,-1,0.92353344,5.3578763,0.92353344,5.3578763,12.0,18.0,15.0,2.5,2.0
387,soldier_caught,0,13,79.612595,1,10,-1,0.39117548,4.645292,0.39117548,4.645292,12.0,18.0,15.0,2.5,2.0
388,intercepted,1,20,326.11816,1,10,20,2.8960445,1.2877207,4.957407,1.2877207,12.0,18.0,15.0,2.5,2.0
389,intercepted,1,56,315.64764,1,9,56,2.6828113,1.1502073,4.83372,1.1502073,12.0,18.0,15.0,2.5,2.0
390,soldier_caught,0,20,173.28018,1,12,-1,0.5432991,1.4590479,0.5432991,1.4590479,12.0,18.0,15.0,2.5,2.0
391,soldier_caught,0,16,167.21301,1,11,-1,1.6169833,4.300102,1.6169833,10.696391,12.0,18.0,15.0,2.5,2.0
392,unsafe_intercept,0,17,20.882935,1,7,-1,2.5711138,0.7150802,3.2933667,0.7150802,12.0,18.0,15.0,2.5,2.0
393,intercepted,1,11,341.76147,1,9,11,9.297456,1.1448504,9.297456,1.1448504,12.0,18.0,15.0,2.5,2.0
