enemy_speed,defender_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
8.0,18.0,2.25,1000,618,0.618,0.01536476488593301,0.382,0.0,19.883,5.19579708103649,15.283,18.580906148867314,5.487629
10.0,18.0,1.8,1000,514,0.514,0.015805189021330938,0.486,0.0,18.045,5.609138742929919,12.611,16.94941634241245,4.3258643
12.0,18.0,1.5,1000,425,0.425,0.01563249820086348,0.575,0.0,19.025,7.949312332935885,10.646,18.385882352941177,3.2013168
14.0,18.0,1.2857142857142858,1000,377,0.377,0.01532550162311172,0.623,0.0,22.372,12.16904686907326,9.357,22.06100795755968,2.4502237
16.0,18.0,1.125,1000,381,0.381,0.015357050498061143,0.619,0.0,27.303,19.90008050748047,8.28,27.559055118110237,2.3628194
