detection_radius,defender_speed,enemy_speed,intercept_radius,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,detection_rate,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
5.0,18.0,12.0,2.5,1000,342,0.342,0.01500119995200384,0.658,0.0,20.079,8.255356437484084,0.779,13.947368421052632,20.549707602339183,2.4243376
8.0,18.0,12.0,2.5,1000,362,0.362,0.015197236590906913,0.638,0.0,20.289,8.422019318988138,0.97,12.81340206185567,20.69060773480663,2.4500887
10.0,18.0,12.0,2.5,1000,378,0.378,0.015333492752794452,0.622,0.0,20.004,8.53925657788211,0.996,12.216867469879517,19.677248677248677,2.6051013
12.0,18.0,12.0,2.5,1000,405,0.405,0.015523369479594306,0.595,0.0,19.653,8.521338169806677,1.0,11.604,18.938271604938272,2.8054311
15.0,18.0,12.0,2.5,1000,425,0.425,0.01563249820086348,0.575,0.0,19.025,7.949312332935885,1.0,10.646,18.385882352941177,3.2013168
