seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
509,soldier_caught,0,13,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.5229957,4.1639757,1000,unknown,0.6327367598811785,0.8761825561523438
510,intercepted,1,13,1,8,13,12.0,18.0,15.0,2.5,2.0,2.404594,0.38374868,1000,unknown,1.970718244711558,2.6261775493621826
511,intercepted,1,32,1,11,32,12.0,18.0,15.0,2.5,2.0,2.45748,1.9450425,1000,unknown,3.341891684315421,2.7485315799713135
512,soldier_caught,0,19,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.8997828,3.046401,1000,unknown,1.6813641488552094,3.9492766857147217
513,intercepted,1,24,1,8,24,12.0,18.0,15.0,2.5,2.0,2.0002806,2.4893203,1000,unknown,2.2159687140408684,2.2847788333892822
514,intercepted,1,15,1,11,15,12.0,18.0,15.0,2.5,2.0,6.6397343,0.63205117,1000,unknown,1.7839853763580322,3.2734365463256836
515,unsafe_intercept,0,28,1,16,-1,12.0,18.0,15.0,2.5,2.0,2.2447507,2.4285395,1000,unknown,2.751524975666633,2.4477927684783936
516,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,10.716281,2.2843266,1000,unknown,0.8568045894304911,1.1617811918258667
517,unsafe_intercept,0,13,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.5286992,0.17069863,1000,unknown,2.00481869493212,3.8380961418151855
518,unsafe_intercept,0,17,1,15,-1,12.0,18.0,15.0,2.5,2.0,2.3243444,1.201784,1000,unknown,0.801276316245397,0.16786399483680725
519,intercepted,1,21,1,13,21,12.0,18.0,15.0,2.5,2.0,4.81102,1.596626,1000,unknown,2.5838225417666965,4.117275714874268
520,soldier_caught,0,30,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.999889,2.747135,1000,unknown,3.1747544939103336,1.226185917854309
521,unsafe_intercept,0,15,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.8542497,0.95677924,1000,unknown,1.7639672287872858,5.539458751678467
