defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist,mean_tracking_error
10.0,12.0,0.8333333333333334,200,86,0.43,0.03500714212842859,0.57,0.0,18.42,9.092135869715479,11.235,14.790697674418604,3.82693,1.6603039100749875
12.0,12.0,1.0,200,112,0.565,0.03505531343462785,0.435,0.0,17.145,6.922686831341146,11.245,15.699115044247788,4.493131,1.592263786744474
14.0,12.0,1.1666666666666667,200,110,0.55,0.03517811819867572,0.45,0.0,17.06,7.0394723420346885,11.15,15.39090909090909,4.2993455,1.6001109445698245
16.0,12.0,1.3333333333333333,200,110,0.55,0.03517811819867572,0.45,0.0,17.275,6.320531670913063,11.085,16.418181818181818,3.9836168,1.675925691502083
18.0,12.0,1.5,200,117,0.585,0.03484070894801081,0.415,0.0,17.265,6.80856503155729,11.05,16.418803418803417,4.2575164,1.6739499577669408
20.0,12.0,1.6666666666666667,200,100,0.5,0.035355339059327376,0.5,0.0,17.495,6.295086621952826,10.925,16.32,3.7580671,1.7743611791365288
