enemy_speed,defender_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
8.0,18.0,2.25,100,56,0.57,0.04950757517794625,0.43,0.0,19.91,4.2571271196819245,15.24,18.596491228070175,5.853223
10.0,18.0,1.8,100,54,0.54,0.04983974317750845,0.46,0.0,16.93,4.845606152990459,12.59,15.814814814814815,4.6113796
12.0,18.0,1.5,100,52,0.52,0.049959983987187186,0.48,0.0,16.37,5.828621473627215,10.68,14.365384615384615,4.3600936
14.0,18.0,1.2857142857142858,100,57,0.58,0.04935585071701227,0.42,0.0,17.52,9.35439182762014,9.5,15.60344827586207,4.6012836
16.0,18.0,1.125,100,50,0.5,0.05,0.5,0.0,19.73,10.662740754798477,8.44,19.28,3.7732363
