detection_radius,defender_speed,enemy_speed,intercept_radius,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,detection_rate,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
5.0,18.0,12.0,2.5,100,39,0.39,0.048774993593028795,0.61,0.0,18.73,7.198281220211706,0.74,14.162162162162161,18.384615384615383,2.458133
8.0,18.0,12.0,2.5,100,41,0.41,0.04918333050943175,0.59,0.0,18.43,6.566297482315482,1.0,12.97,19.390243902439025,2.6674933
10.0,18.0,12.0,2.5,100,46,0.46,0.04983974317750845,0.54,0.0,17.23,5.561147690572841,1.0,12.14,17.652173913043477,3.1619492
12.0,18.0,12.0,2.5,100,45,0.45,0.049749371855331,0.55,0.0,17.16,6.285657877222952,1.0,11.6,15.977777777777778,3.417695
15.0,18.0,12.0,2.5,100,52,0.52,0.049959983987187186,0.48,0.0,16.37,5.828621473627215,1.0,10.68,14.365384615384615,4.3600936
