defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
10.0,12.0,0.8333333333333334,100,49,0.49,0.04998999899979995,0.51,0.0,17.54,8.393624324028881,10.95,15.224489795918368,3.8834515
12.0,12.0,1.0,100,56,0.56,0.04963869458396342,0.44,0.0,16.48,7.603135982453343,10.94,13.482142857142858,4.3744545
14.0,12.0,1.1666666666666667,100,54,0.54,0.04983974317750845,0.46,0.0,16.77,7.936433058809839,10.85,14.574074074074074,4.2642574
16.0,12.0,1.3333333333333333,100,59,0.59,0.04918333050943175,0.41,0.0,16.09,6.636439047585928,10.84,15.35593220338983,4.588811
18.0,12.0,1.5,100,52,0.52,0.049959983987187186,0.48,0.0,16.37,5.828621473627215,10.68,14.365384615384615,4.3600936
20.0,12.0,1.6666666666666667,100,54,0.54,0.04983974317750845,0.46,0.0,16.02,6.979016167531543,10.6,14.222222222222221,4.9873457
