seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes
352,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,8.566435,0.5155926,1000
353,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,6.7348905,1.3663123,1000
354,soldier_caught,0,21,1,17,-1,12.0,18.0,15.0,2.5,2.0,1.872277,5.0955224,1000
355,intercepted,1,16,1,9,16,12.0,18.0,15.0,2.5,2.0,3.255706,2.4898975,1000
356,unsafe_intercept,0,34,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.1643567,2.3144183,1000
357,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,12.250387,1.3576837,1000
358,intercepted,1,8,1,7,8,12.0,18.0,15.0,2.5,2.0,8.138203,1.8623303,1000
359,intercepted,1,30,1,14,30,12.0,18.0,15.0,2.5,2.0,2.064386,0.6191525,1000
360,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.5071536,3.719209,1000
361,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,3.881966,0.6634119,1000
362,soldier_caught,0,17,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.0907571,2.8352723,1000
363,soldier_caught,0,14,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8653638,2.5133412,1000
364,intercepted,1,18,1,15,18,12.0,18.0,15.0,2.5,2.0,7.4157233,1.6725317,1000
365,soldier_caught,0,23,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6487917,3.1305854,1000
366,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,3.74368,2.497827,1000
367,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,13.436532,2.4358435,1000
368,intercepted,1,11,1,6,11,12.0,18.0,15.0,2.5,2.0,7.8064265,1.7173628,1000
369,intercepted,1,17,1,10,17,12.0,18.0,15.0,2.5,2.0,4.41354,1.6965519,1000
370,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,8.856645,2.261801,1000
371,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,8.167907,2.4951391,1000
372,intercepted,1,11,1,10,11,12.0,18.0,15.0,2.5,2.0,9.760603,2.4369204,1000
373,soldier_caught,0,25,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.8778546,3.4267256,1000
374,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,13.986306,1.7433214,1000
375,intercepted,1,16,1,15,16,12.0,18.0,15.0,2.5,2.0,9.278345,2.0837598,1000
376,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,8.56135,1.2988726,1000
377,intercepted,1,9,1,8,9,12.0,18.0,15.0,2.5,2.0,7.2372055,2.4048905,1000
378,intercepted,1,24,1,13,24,12.0,18.0,15.0,2.5,2.0,3.9022887,2.4944184,1000
379,soldier_caught,0,19,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.974124,3.6554456,1000
380,unsafe_intercept,0,28,1,14,-1,12.0,18.0,15.0,2.5,2.0,2.1178439,1.4134927,1000
381,intercepted,1,26,1,10,26,12.0,18.0,15.0,2.5,2.0,2.5924132,1.3929557,1000
382,intercepted,1,17,1,9,17,12.0,18.0,15.0,2.5,2.0,2.5995877,1.9924611,1000
383,soldier_caught,0,28,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.4632443,2.9357085,1000
