method,n_episodes,success_rate,success_se,ci_lower,ci_upper,fail_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_tracking_error
Greedy Baseline,1000,0.425,0.01563249820086348,0.39470520710516793,0.4558688066676653,0.575,0.0,19.025,7.949312332935885,10.646,18.385882352941177,
PPO (Direct RL),1000,0.603,0.01547226550961429,0.572336273352678,0.6328754143992976,0.397,0.0,16.056,6.181996528717974,10.738,15.12106135986733,
PPO (RL + Kalman),1000,0.577,0.015622771841129857,0.546142492951032,0.6072681862421924,0.423,0.0,16.645,6.5329667575041785,10.702,15.909878682842288,1.6089454393244815
