policy,n_episodes,success_rate,success_se,fail_rate,timeout_rate,mean_episode_length,mean_detection_time,mean_intercept_time
greedy_baseline,10,0.4,0.15491933384829668,0.6,0.0,19.1,11.0,20.25
ppo_rl,1000,0.514,0.015805189021330938,0.486,0.0,17.384,10.771,16.43190661478599
