defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,success_se,failure_rate,timeout_rate,mean_episode_length,std_episode_length,mean_detection_time,mean_intercept_time,mean_min_enemy_soldier_dist
10.0,12.0,0.8333333333333334,200,43,0.215,0.029049526674285075,0.785,0.0,23.98,13.959366733415594,11.245,19.72093023255814,2.090701
12.0,12.0,1.0,200,42,0.21,0.028801041647829335,0.79,0.0,22.61,10.924956446907887,11.165,19.071428571428573,2.0690925
14.0,12.0,1.1666666666666667,200,50,0.25,0.030618621784789725,0.75,0.0,21.775,10.12903558138904,11.12,21.38,2.1490085
16.0,12.0,1.3333333333333333,200,67,0.335,0.0333747659167821,0.665,0.0,21.36,10.022106219020364,10.985,20.388059701492537,2.5347955
18.0,12.0,1.5,200,85,0.425,0.034955328635273904,0.575,0.0,19.765,8.287532259652076,10.92,19.870588235294118,3.050016
20.0,12.0,1.6666666666666667,200,101,0.505,0.03535357124817803,0.495,0.0,17.75,6.658768353073976,10.865,17.14851485148515,3.8725183
