seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,mean_tracking_error,final_tracking_error,policy_name
23,soldier_caught,0,28,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.0490384,3.2433848,1000,2.857598591791956,2.044189214706421,kalman_baseline
24,intercepted,1,8,1,7,8,12.0,18.0,15.0,2.5,2.0,6.401523,1.4992034,1000,0.6683408319950104,0.8874567747116089,kalman_baseline
25,soldier_caught,0,15,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.0276468,3.3615825,1000,0.9264258146286011,1.1029072999954224,kalman_baseline
26,intercepted,1,14,1,10,14,12.0,18.0,15.0,2.5,2.0,8.41247,2.2362187,1000,0.6714843153953552,0.28784576058387756,kalman_baseline
27,soldier_caught,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.5240359,3.0823874,1000,2.40052850950848,3.460874557495117,kalman_baseline
28,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8513391,4.3441596,1000,1.6610043687479836,3.415924310684204,kalman_baseline
29,intercepted,1,21,1,7,21,12.0,18.0,15.0,2.5,2.0,2.1669781,0.7393029,1000,2.8528322617212933,3.608771562576294,kalman_baseline
30,soldier_caught,0,12,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4225085,5.3830357,1000,1.234995166460673,1.709443211555481,kalman_baseline
31,soldier_caught,0,18,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8841782,3.4106648,1000,2.445549249649048,2.577122688293457,kalman_baseline
32,soldier_caught,0,24,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6136215,2.7501872,1000,2.0392593344052634,1.9920315742492676,kalman_baseline
33,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,5.0093403,1.8710641,1000,1.1184295217196147,0.7112793326377869,kalman_baseline
34,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.37315482,2.9143393,1000,2.3942991154534474,2.72367525100708,kalman_baseline
35,soldier_caught,0,10,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4747838,4.8894153,1000,0.936434805393219,0.6391773223876953,kalman_baseline
36,soldier_caught,0,22,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.99819374,2.6240456,1000,3.1576793662139346,4.872154712677002,kalman_baseline
37,soldier_caught,0,14,1,8,-1,12.0,18.0,15.0,2.5,2.0,0.12678899,3.4894495,1000,2.4280545924391066,5.455102443695068,kalman_baseline
38,soldier_caught,0,18,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.0131897,5.125574,1000,1.5729177474975586,2.9913761615753174,kalman_baseline
39,soldier_caught,0,17,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.8490875,4.501109,1000,2.4584438025951387,3.3816769123077393,kalman_baseline
40,soldier_caught,0,21,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.701873,2.5062876,1000,2.3224887781673007,3.2967522144317627,kalman_baseline
41,soldier_caught,0,16,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.0475762,4.46296,1000,0.8675950169563293,2.951160192489624,kalman_baseline
42,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.9473715,3.7219784,1000,0.5260639389355978,0.5163397789001465,kalman_baseline
43,intercepted,1,20,1,18,20,12.0,18.0,15.0,2.5,2.0,5.3408947,0.9625496,1000,1.0398487051328023,0.9565970301628113,kalman_baseline
44,intercepted,1,31,1,8,31,12.0,18.0,15.0,2.5,2.0,2.4201403,2.3590448,1000,2.8927106546858945,4.266479015350342,kalman_baseline
45,soldier_caught,0,16,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.6770961,4.2188096,1000,2.00450070699056,3.379498243331909,kalman_baseline
46,soldier_caught,0,16,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.4683957,2.0652628,1000,2.297885090112686,5.271371841430664,kalman_baseline
47,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9022613,4.6238627,1000,1.508526188135147,4.154566764831543,kalman_baseline
48,soldier_caught,0,20,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.1862006,3.8313122,1000,1.9461683540471963,4.489105701446533,kalman_baseline
49,soldier_caught,0,35,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4972342,4.1371927,1000,3.215684747254407,2.832498550415039,kalman_baseline
50,intercepted,1,22,1,13,22,12.0,18.0,15.0,2.5,2.0,2.8750205,1.5784631,1000,2.364701122045517,2.686894655227661,kalman_baseline
51,soldier_caught,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.422192,3.1151953,1000,2.2261306941509247,2.6777942180633545,kalman_baseline
52,soldier_caught,0,16,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.8913996,4.1299505,1000,2.1557459575789317,1.801361083984375,kalman_baseline
53,soldier_caught,0,16,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.699893,4.037123,1000,2.030531533062458,2.1537301540374756,kalman_baseline
54,unsafe_intercept,0,27,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.1910112,1.7865989,1000,3.4248734430262915,3.770231246948242,kalman_baseline
55,intercepted,1,35,1,14,35,12.0,18.0,15.0,2.5,2.0,2.9225183,1.5030055,1000,3.0612784122878853,3.277357339859009,kalman_baseline
56,intercepted,1,24,1,14,24,12.0,18.0,15.0,2.5,2.0,2.1853085,1.9422562,1000,2.557030585679141,3.513359546661377,kalman_baseline
57,soldier_caught,0,20,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.7621062,3.0370378,1000,2.9900622963905334,2.643718957901001,kalman_baseline
58,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,8.81732,2.3624632,1000,0.8298541009426117,0.6288958191871643,kalman_baseline
59,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,4.934943,1.7062855,1000,0.8380095660686493,1.3284051418304443,kalman_baseline
60,soldier_caught,0,18,1,14,-1,12.0,18.0,15.0,2.5,2.0,0.94456273,4.258326,1000,1.6745846152305603,3.7128326892852783,kalman_baseline
61,soldier_caught,0,14,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.9948577,3.3831046,1000,2.1143536369005838,2.4868009090423584,kalman_baseline
62,soldier_caught,0,42,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8570306,2.7249844,1000,2.5195449627935886,1.7008944749832153,kalman_baseline
63,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,8.358001,0.90162647,1000,1.6732659935951233,1.0455855131149292,kalman_baseline
64,intercepted,1,16,1,7,16,12.0,18.0,15.0,2.5,2.0,4.1461916,1.4794818,1000,2.8638971388339995,2.48701548576355,kalman_baseline
65,soldier_caught,0,59,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.5341545,3.1804595,1000,3.881533406528772,2.474496603012085,kalman_baseline
66,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.946461,6.8417797,1000,1.9392566159367561,4.0938401222229,kalman_baseline
67,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.956612,4.3914986,1000,1.1767011284828186,1.5529839992523193,kalman_baseline
68,intercepted,1,15,1,14,15,12.0,18.0,15.0,2.5,2.0,3.7335343,1.6831843,1000,0.601171225309372,0.3180895447731018,kalman_baseline
69,intercepted,1,18,1,14,18,12.0,18.0,15.0,2.5,2.0,2.4691942,1.5729551,1000,1.706891906261444,3.0171632766723633,kalman_baseline
70,intercepted,1,38,1,12,38,12.0,18.0,15.0,2.5,2.0,3.257402,2.1166637,1000,3.3033624004434654,4.549506664276123,kalman_baseline
71,intercepted,1,21,1,8,21,12.0,18.0,15.0,2.5,2.0,2.4580011,1.7297503,1000,2.3495436779090335,2.7059574127197266,kalman_baseline
72,soldier_caught,0,14,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.7913219,6.8937845,1000,1.0474103887875874,1.2181130647659302,kalman_baseline
73,soldier_caught,0,16,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6799252,4.3187613,1000,1.9558908428464616,4.874600887298584,kalman_baseline
74,intercepted,1,8,1,7,8,12.0,18.0,15.0,2.5,2.0,10.557365,1.2721628,1000,0.5210078656673431,0.5184411406517029,kalman_baseline
75,soldier_caught,0,25,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.20281804,2.7225723,1000,3.3772820021424974,2.7974743843078613,kalman_baseline
76,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,7.0370517,2.0279138,1000,1.3624259531497955,0.8102862238883972,kalman_baseline
77,intercepted,1,12,1,8,12,12.0,18.0,15.0,2.5,2.0,4.0648108,0.7284215,1000,1.1656084775924682,1.8911908864974976,kalman_baseline
78,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,4.470525,1.5623456,1000,1.595536708831787,1.6249572038650513,kalman_baseline
79,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,7.629828,1.6856047,1000,0.6448616633812586,0.8824250102043152,kalman_baseline
80,intercepted,1,22,1,11,22,12.0,18.0,15.0,2.5,2.0,3.8816385,0.970905,1000,2.8394378796219826,1.8995436429977417,kalman_baseline
81,intercepted,1,23,1,14,23,12.0,18.0,15.0,2.5,2.0,4.1035314,1.8779159,1000,2.223558562994003,1.5625278949737549,kalman_baseline
82,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,6.0825667,1.4774079,1000,1.157471388578415,0.932800829410553,kalman_baseline
83,intercepted,1,16,1,11,16,12.0,18.0,15.0,2.5,2.0,8.125301,1.0292916,1000,1.2227475146452587,3.3667516708374023,kalman_baseline
84,soldier_caught,0,17,1,15,-1,12.0,18.0,15.0,2.5,2.0,0.74782777,3.7498598,1000,1.1786134044329326,2.3836703300476074,kalman_baseline
85,intercepted,1,9,1,7,9,12.0,18.0,15.0,2.5,2.0,4.2151885,1.0578569,1000,0.4358220472931862,0.7495316863059998,kalman_baseline
86,soldier_caught,0,14,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.6828576,4.520544,1000,0.8165257275104523,1.0977461338043213,kalman_baseline
87,soldier_caught,0,25,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.9469917,3.4681044,1000,3.1444266221740027,2.092815399169922,kalman_baseline
88,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,7.285272,2.2105324,1000,1.0934589703877766,1.477773666381836,kalman_baseline
89,intercepted,1,19,1,10,19,12.0,18.0,15.0,2.5,2.0,2.3169057,1.9196151,1000,1.9636520326137543,2.340137481689453,kalman_baseline
90,intercepted,1,12,1,7,12,12.0,18.0,15.0,2.5,2.0,14.084572,1.8991832,1000,1.4495148013035457,2.9041495323181152,kalman_baseline
91,soldier_caught,0,29,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8152884,2.7540598,1000,2.6123203321507105,2.232814311981201,kalman_baseline
92,unsafe_intercept,0,19,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.1946778,1.8724952,1000,2.201584584183163,2.2757811546325684,kalman_baseline
93,intercepted,1,40,1,7,40,12.0,18.0,15.0,2.5,2.0,2.3662405,1.7321737,1000,2.650853032574934,3.3444342613220215,kalman_baseline
94,intercepted,1,15,1,9,15,12.0,18.0,15.0,2.5,2.0,2.8409524,2.38402,1000,1.6221375465393066,0.9082047939300537,kalman_baseline
95,soldier_caught,0,20,1,13,-1,12.0,18.0,15.0,2.5,2.0,0.8849563,2.9320774,1000,2.5581578090786934,1.8726065158843994,kalman_baseline
96,intercepted,1,15,1,11,15,12.0,18.0,15.0,2.5,2.0,3.7018166,1.9444824,1000,0.8203353822231293,0.36086514592170715,kalman_baseline
97,intercepted,1,15,1,14,15,12.0,18.0,15.0,2.5,2.0,7.872377,1.8615944,1000,1.613194316625595,2.565778970718384,kalman_baseline
98,soldier_caught,0,19,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.7789378,2.9600668,1000,2.5640525341033937,3.1218292713165283,kalman_baseline
99,soldier_caught,0,14,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.78763795,3.9316056,1000,2.599460903555155,4.783224105834961,kalman_baseline
100,intercepted,1,11,1,7,11,12.0,18.0,15.0,2.5,2.0,8.1712055,2.3875961,1000,0.755421370267868,0.5908231735229492,kalman_baseline
101,intercepted,1,30,1,10,30,12.0,18.0,15.0,2.5,2.0,3.5845973,2.161045,1000,3.53208232209796,3.3506460189819336,kalman_baseline
102,unsafe_intercept,0,11,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.4930248,0.5208767,1000,0.6022563874721527,0.256641685962677,kalman_baseline
103,soldier_caught,0,43,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4191713,2.7463937,1000,3.247388333082199,4.290428638458252,kalman_baseline
104,soldier_caught,0,23,1,19,-1,12.0,18.0,15.0,2.5,2.0,1.5723168,4.6332498,1000,1.8847612023353577,4.719488143920898,kalman_baseline
105,intercepted,1,25,1,11,25,12.0,18.0,15.0,2.5,2.0,2.4928217,1.7691901,1000,2.65560494462649,3.407395362854004,kalman_baseline
106,soldier_caught,0,17,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.2581538,2.837118,1000,2.238508681456248,5.091195583343506,kalman_baseline
107,soldier_caught,0,39,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.0383259,3.1277025,1000,2.428436409544062,1.6754531860351562,kalman_baseline
108,intercepted,1,18,1,14,18,12.0,18.0,15.0,2.5,2.0,9.116668,2.2019796,1000,1.2036449670791627,1.8199454545974731,kalman_baseline
109,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,8.852995,1.4279852,1000,0.49019263982772826,0.8987237811088562,kalman_baseline
110,soldier_caught,0,17,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.35576472,4.813131,1000,3.003050297498703,5.772035121917725,kalman_baseline
111,intercepted,1,25,1,18,25,12.0,18.0,15.0,2.5,2.0,2.0905335,0.99432635,1000,2.061168245971203,0.95464026927948,kalman_baseline
112,soldier_caught,0,13,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4296756,3.5864017,1000,1.0436009526252747,1.2452055215835571,kalman_baseline
113,soldier_caught,0,14,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.9084021,1.9139355,1000,0.9755509694417318,1.0446017980575562,kalman_baseline
114,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.2696573,4.6264133,1000,1.5418930649757385,1.4148979187011719,kalman_baseline
115,soldier_caught,0,12,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.93960434,3.4135015,1000,1.9278248349825542,3.8180789947509766,kalman_baseline
116,intercepted,1,19,1,12,19,12.0,18.0,15.0,2.5,2.0,2.1562886,2.0656867,1000,2.2090525552630424,3.35540771484375,kalman_baseline
117,intercepted,1,14,1,9,14,12.0,18.0,15.0,2.5,2.0,6.639159,2.255834,1000,1.4712158193190892,4.053811073303223,kalman_baseline
118,soldier_caught,0,17,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.2187399,4.2774653,1000,1.3456507548689842,3.353111505508423,kalman_baseline
119,intercepted,1,18,1,14,18,12.0,18.0,15.0,2.5,2.0,7.6785374,1.805635,1000,1.4648993372917176,2.4016520977020264,kalman_baseline
120,soldier_caught,0,34,1,16,-1,12.0,18.0,15.0,2.5,2.0,1.7447531,4.1057324,1000,2.882412381862339,3.2213594913482666,kalman_baseline
121,intercepted,1,19,1,9,19,12.0,18.0,15.0,2.5,2.0,2.2024107,2.2397625,1000,2.2470292232253333,2.592064619064331,kalman_baseline
122,soldier_caught,0,21,1,16,-1,12.0,18.0,15.0,2.5,2.0,1.8128006,6.1719694,1000,1.7926479677359264,3.0586538314819336,kalman_baseline
123,intercepted,1,18,1,12,18,12.0,18.0,15.0,2.5,2.0,2.6101162,1.6815143,1000,2.1092034535748616,3.4040274620056152,kalman_baseline
124,soldier_caught,0,17,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.752382,3.9464812,1000,1.9011765271425247,2.0482141971588135,kalman_baseline
125,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,8.184511,2.27231,1000,0.9395175377527872,0.4338454008102417,kalman_baseline
126,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.6755363,3.8297126,1000,1.7877464124134608,4.505235195159912,kalman_baseline
127,soldier_caught,0,17,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.6069868,3.2710578,1000,1.1051858514547348,1.2169169187545776,kalman_baseline
128,unsafe_intercept,0,23,1,8,-1,12.0,18.0,15.0,2.5,2.0,2.1464617,2.227208,1000,3.572319656610489,2.2818050384521484,kalman_baseline
129,soldier_caught,0,19,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.1779003,3.5967987,1000,3.5021614521741866,4.677156925201416,kalman_baseline
130,intercepted,1,25,1,17,25,12.0,18.0,15.0,2.5,2.0,2.631546,1.4236162,1000,2.5315479106373258,4.619417667388916,kalman_baseline
131,intercepted,1,16,1,15,16,12.0,18.0,15.0,2.5,2.0,7.247237,1.5590467,1000,0.8528144657611847,0.7057585716247559,kalman_baseline
132,soldier_caught,0,22,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.7236414,3.5352378,1000,2.7251117635856974,2.2440645694732666,kalman_baseline
133,unsafe_intercept,0,33,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.1080513,0.85537314,1000,2.9065521522001787,1.7800360918045044,kalman_baseline
134,unsafe_intercept,0,27,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.5671263,1.2014836,1000,3.416942658878508,1.0552961826324463,kalman_baseline
135,unsafe_intercept,0,31,1,13,-1,12.0,18.0,15.0,2.5,2.0,2.2966766,2.0968304,1000,2.3752986035848918,2.447498083114624,kalman_baseline
136,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.5758091,4.4148183,1000,2.792829053742545,4.878294944763184,kalman_baseline
137,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4010661,4.4047976,1000,1.2827546656131745,1.2824047803878784,kalman_baseline
138,soldier_caught,0,16,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8956493,3.8071,1000,1.824691615998745,2.196035146713257,kalman_baseline
139,soldier_caught,0,44,1,5,-1,12.0,18.0,15.0,2.5,2.0,1.6646063,2.9145837,1000,3.589144203811884,4.317756175994873,kalman_baseline
140,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,7.6113696,0.36861837,1000,0.8438062518835068,0.5204952359199524,kalman_baseline
141,intercepted,1,20,1,11,20,12.0,18.0,15.0,2.5,2.0,2.3008718,2.266742,1000,2.4763408422470095,1.5696539878845215,kalman_baseline
142,soldier_caught,0,28,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.0302271,1.4463453,1000,3.2752563394606113,4.376220226287842,kalman_baseline
143,intercepted,1,19,1,15,19,12.0,18.0,15.0,2.5,2.0,14.969447,2.2899144,1000,1.3241018891334533,1.638300895690918,kalman_baseline
144,soldier_caught,0,30,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.5639738,2.5400136,1000,2.716020628025657,2.683852195739746,kalman_baseline
145,soldier_caught,0,15,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.352989,3.3687406,1000,2.2225431076117923,3.0812652111053467,kalman_baseline
146,soldier_caught,0,38,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.6088296,2.9185178,1000,3.330085490147273,2.297896385192871,kalman_baseline
147,intercepted,1,20,1,14,20,12.0,18.0,15.0,2.5,2.0,3.0157,1.9000232,1000,2.2344403011458263,2.9309847354888916,kalman_baseline
148,soldier_caught,0,48,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.85050374,2.9912586,1000,2.9372689578682185,2.291987180709839,kalman_baseline
149,soldier_caught,0,17,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.4428335,3.8189948,1000,2.1053915809501302,2.8159170150756836,kalman_baseline
150,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,8.606789,2.3887944,1000,0.4329666495323181,0.32619303464889526,kalman_baseline
151,soldier_caught,0,21,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.0785031,3.255035,1000,2.588724915470396,2.6219170093536377,kalman_baseline
152,soldier_caught,0,12,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.3414664,5.70404,1000,2.072198281685511,5.104048728942871,kalman_baseline
153,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.6959795,4.377227,1000,0.7984699904918671,0.5377823114395142,kalman_baseline
154,intercepted,1,11,1,7,11,12.0,18.0,15.0,2.5,2.0,13.101414,2.0328193,1000,1.2859556913375854,2.0654847621917725,kalman_baseline
155,soldier_caught,0,17,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6200192,3.2295554,1000,2.415774904191494,4.985330104827881,kalman_baseline
156,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,8.998259,1.5866508,1000,0.5966251492500305,0.6346874833106995,kalman_baseline
157,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,10.451594,2.3309603,1000,1.4834384679794312,2.543123483657837,kalman_baseline
158,intercepted,1,23,1,9,23,12.0,18.0,15.0,2.5,2.0,2.8508368,2.3401282,1000,2.486682633558909,3.7793335914611816,kalman_baseline
159,intercepted,1,28,1,10,28,12.0,18.0,15.0,2.5,2.0,2.4907596,0.19846895,1000,3.0620174909892834,2.028738260269165,kalman_baseline
160,soldier_caught,0,12,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4171684,5.087058,1000,0.7757828931013743,1.2509808540344238,kalman_baseline
161,unsafe_intercept,0,11,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.3474102,2.0477734,1000,0.4560514986515045,0.613563597202301,kalman_baseline
162,soldier_caught,0,20,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.071762,4.4136863,1000,2.139321081340313,3.4483325481414795,kalman_baseline
163,soldier_caught,0,21,1,14,-1,12.0,18.0,15.0,2.5,2.0,0.6105795,4.0385184,1000,3.0171638540923595,4.2548956871032715,kalman_baseline
164,soldier_caught,0,18,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.75700456,2.7137537,1000,2.569520555436611,4.132605075836182,kalman_baseline
165,intercepted,1,20,1,10,20,12.0,18.0,15.0,2.5,2.0,4.198863,2.3424103,1000,3.0785088268193332,4.644171237945557,kalman_baseline
166,intercepted,1,19,1,15,19,12.0,18.0,15.0,2.5,2.0,8.3307295,2.3172135,1000,1.0586783051490785,1.9511691331863403,kalman_baseline
167,soldier_caught,0,12,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.5406404,3.5583966,1000,1.8082786679267884,3.886000633239746,kalman_baseline
168,intercepted,1,27,1,15,27,12.0,18.0,15.0,2.5,2.0,2.3849611,2.349841,1000,2.3727380472880144,2.4472832679748535,kalman_baseline
169,soldier_caught,0,16,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.3135029,2.7630422,1000,2.036383333719439,2.5472171306610107,kalman_baseline
170,intercepted,1,29,1,16,29,12.0,18.0,15.0,2.5,2.0,2.5221176,0.7955872,1000,2.4753492368119105,3.273911952972412,kalman_baseline
171,intercepted,1,23,1,10,23,12.0,18.0,15.0,2.5,2.0,2.4274933,2.2786176,1000,2.815127921955926,2.231053352355957,kalman_baseline
172,unsafe_intercept,0,35,1,21,-1,12.0,18.0,15.0,2.5,2.0,3.1442533,0.9491365,1000,3.210040728251139,4.364016056060791,kalman_baseline
173,intercepted,1,17,1,15,17,12.0,18.0,15.0,2.5,2.0,15.079695,1.575329,1000,1.6014142235120137,2.181908130645752,kalman_baseline
174,soldier_caught,0,19,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.6718018,0.79232305,1000,2.076218781992793,0.1697344332933426,kalman_baseline
175,soldier_caught,0,17,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.5696089,3.2453446,1000,2.2196645975112914,2.103640556335449,kalman_baseline
176,unsafe_intercept,0,36,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.6029525,1.6140898,1000,3.4668133333325386,2.5901236534118652,kalman_baseline
177,soldier_caught,0,16,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.8215665,2.8961403,1000,2.191155901976994,4.653005599975586,kalman_baseline
178,intercepted,1,21,1,17,21,12.0,18.0,15.0,2.5,2.0,8.255165,1.8527671,1000,1.2361420452594758,1.9845328330993652,kalman_baseline
179,intercepted,1,14,1,9,14,12.0,18.0,15.0,2.5,2.0,7.365832,1.6217855,1000,1.402224451303482,3.4318628311157227,kalman_baseline
180,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,9.485272,0.75857073,1000,1.0633907243609428,2.226795196533203,kalman_baseline
181,soldier_caught,0,14,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.2102414,5.6099863,1000,1.0986788074175518,0.8636396527290344,kalman_baseline
182,soldier_caught,0,22,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.7256835,3.4386933,1000,2.526597497718675,2.3199946880340576,kalman_baseline
183,soldier_caught,0,21,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8340148,1.6527388,1000,2.6750420194405775,4.19545841217041,kalman_baseline
184,soldier_caught,0,38,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.3056041,2.9551418,1000,2.7828322918184343,2.925189971923828,kalman_baseline
185,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,3.30426,1.8508712,1000,1.6188009679317474,2.316800355911255,kalman_baseline
186,unsafe_intercept,0,14,1,8,-1,12.0,18.0,15.0,2.5,2.0,2.5449877,1.3213288,1000,1.7639820405415125,1.6861562728881836,kalman_baseline
187,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.6790027,4.4979396,1000,1.6575030386447906,3.431243896484375,kalman_baseline
188,soldier_caught,0,38,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8712646,2.9054732,1000,2.81185819208622,2.811964988708496,kalman_baseline
189,soldier_caught,0,21,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.6480191,3.6758628,1000,2.4795339852571487,2.241713285446167,kalman_baseline
190,soldier_caught,0,27,1,15,-1,12.0,18.0,15.0,2.5,2.0,0.8639202,3.2184973,1000,2.9939289001318126,2.0569474697113037,kalman_baseline
191,intercepted,1,19,1,9,19,12.0,18.0,15.0,2.5,2.0,2.6249778,0.3420585,1000,2.788963745940815,3.443380355834961,kalman_baseline
192,soldier_caught,0,22,1,15,-1,12.0,18.0,15.0,2.5,2.0,0.5113583,3.7380128,1000,2.1726750507950783,3.9568822383880615,kalman_baseline
193,intercepted,1,11,1,10,11,12.0,18.0,15.0,2.5,2.0,8.2322445,1.6656525,1000,0.5491079092025757,0.32661378383636475,kalman_baseline
194,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,4.181511,1.6823206,1000,0.8336787521839142,1.3060498237609863,kalman_baseline
195,intercepted,1,23,1,12,23,12.0,18.0,15.0,2.5,2.0,2.155507,1.6293545,1000,2.449883595108986,3.0609066486358643,kalman_baseline
196,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.1378515,4.6787224,1000,1.4324076399207115,3.382894992828369,kalman_baseline
197,soldier_caught,0,17,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.9967635,4.0019784,1000,2.8003441956308155,4.789159297943115,kalman_baseline
198,unsafe_intercept,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,2.8000247,1.9202671,1000,0.7833203002810478,1.2946656942367554,kalman_baseline
