seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,mean_tracking_error,final_tracking_error,policy_name
891,soldier_caught,0,16,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.9214479,3.0414567,1000,1.0084502696990967,1.5296562910079956,kalman_baseline
892,soldier_caught,0,15,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.449192,2.535799,1000,1.7958918379412756,2.311082124710083,kalman_baseline
893,unsafe_intercept,0,26,1,8,-1,12.0,18.0,15.0,2.5,2.0,2.6554375,2.1953192,1000,2.799879767392811,2.6142807006835938,kalman_baseline
894,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.0659108,5.3790336,1000,1.0953389346599578,2.032813310623169,kalman_baseline
895,soldier_caught,0,17,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.4238795,2.5062187,1000,2.3256158232688904,5.11297607421875,kalman_baseline
896,soldier_caught,0,16,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8604921,4.697859,1000,1.7461483240127564,4.48495626449585,kalman_baseline
897,soldier_caught,0,21,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.4638824,4.1532016,1000,2.552843391895294,3.0663130283355713,kalman_baseline
898,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4327383,2.791142,1000,1.1945952624082565,1.2877806425094604,kalman_baseline
899,soldier_caught,0,15,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.0243292,5.085321,1000,2.1868864446878433,3.0639729499816895,kalman_baseline
900,unsafe_intercept,0,26,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.1171143,1.8850318,1000,2.5583897988001505,2.398714303970337,kalman_baseline
901,intercepted,1,16,1,13,16,12.0,18.0,15.0,2.5,2.0,5.519452,1.4443698,1000,1.2517329156398773,2.070359468460083,kalman_baseline
902,intercepted,1,10,1,10,10,12.0,18.0,15.0,2.5,2.0,7.2116084,2.3692255,1000,0.4271342158317566,0.4271342158317566,kalman_baseline
903,soldier_caught,0,20,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8363786,3.435584,1000,2.511617287993431,2.1474406719207764,kalman_baseline
904,intercepted,1,34,1,8,34,12.0,18.0,15.0,2.5,2.0,2.4223638,2.0091474,1000,3.516336076789432,3.0059683322906494,kalman_baseline
905,intercepted,1,19,1,10,19,12.0,18.0,15.0,2.5,2.0,4.1958013,2.29505,1000,2.6078788220882414,2.9525222778320312,kalman_baseline
906,soldier_caught,0,26,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.5662137,3.140739,1000,2.3671031554539996,2.072343349456787,kalman_baseline
907,soldier_caught,0,19,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.4973581,2.5232985,1000,2.442383964856466,1.6867561340332031,kalman_baseline
908,intercepted,1,19,1,10,19,12.0,18.0,15.0,2.5,2.0,2.3463793,2.054038,1000,1.687294702231884,2.5556952953338623,kalman_baseline
909,soldier_caught,0,10,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.9147506,4.858832,1000,0.815605362256368,1.0221003293991089,kalman_baseline
910,intercepted,1,16,1,10,16,12.0,18.0,15.0,2.5,2.0,2.9931014,1.25931,1000,2.3205153260912215,3.1539862155914307,kalman_baseline
911,soldier_caught,0,14,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.5165265,2.8800902,1000,1.6999204754829407,1.9833965301513672,kalman_baseline
912,intercepted,1,21,1,14,21,12.0,18.0,15.0,2.5,2.0,2.1754243,2.499322,1000,2.2437343671917915,1.006476879119873,kalman_baseline
913,unsafe_intercept,0,29,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.2456486,1.6894073,1000,3.313262552022934,2.846381902694702,kalman_baseline
914,soldier_caught,0,11,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.7722594,3.7248724,1000,1.0297136306762695,0.6310492753982544,kalman_baseline
915,soldier_caught,0,28,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.48128855,2.9727592,1000,2.7005675119512222,1.2265418767929077,kalman_baseline
916,soldier_caught,0,14,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.85939413,3.6661983,1000,0.7841713130474091,1.473733901977539,kalman_baseline
917,soldier_caught,0,16,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.86998266,3.8760424,1000,2.4686039626598357,3.219043731689453,kalman_baseline
918,unsafe_intercept,0,26,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.0757985,0.17464656,1000,2.394898368914922,2.6977286338806152,kalman_baseline
919,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,3.0322347,2.2149086,1000,1.2972979098558426,1.2833784818649292,kalman_baseline
920,intercepted,1,23,1,8,23,12.0,18.0,15.0,2.5,2.0,2.4397936,1.980681,1000,3.487040378153324,2.57608962059021,kalman_baseline
921,soldier_caught,0,12,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9322219,3.891504,1000,0.7248007655143738,0.8126084208488464,kalman_baseline
922,intercepted,1,20,1,12,20,12.0,18.0,15.0,2.5,2.0,2.482171,1.6807077,1000,2.335503773556815,1.8389173746109009,kalman_baseline
923,unsafe_intercept,0,21,1,14,-1,12.0,18.0,15.0,2.5,2.0,3.2740119,2.3937988,1000,2.4933694675564766,1.0621414184570312,kalman_baseline
924,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.4708842,2.621612,1000,0.8440041765570641,1.3897218704223633,kalman_baseline
925,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.2061311,3.5924568,1000,1.040641114115715,0.5228347182273865,kalman_baseline
926,soldier_caught,0,61,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8728005,2.62026,1000,3.023552943468094,1.5906742811203003,kalman_baseline
927,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,10.761175,2.2385662,1000,0.7989221513271332,0.9368208050727844,kalman_baseline
928,unsafe_intercept,0,21,1,8,-1,12.0,18.0,15.0,2.5,2.0,2.4089062,1.5111035,1000,2.222625745194299,1.6563071012496948,kalman_baseline
929,intercepted,1,23,1,8,23,12.0,18.0,15.0,2.5,2.0,2.516267,1.6905613,1000,2.2721906043589115,3.276341676712036,kalman_baseline
930,unsafe_intercept,0,13,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.8300683,2.0463471,1000,1.4322357177734375,1.2402430772781372,kalman_baseline
931,intercepted,1,30,1,9,30,12.0,18.0,15.0,2.5,2.0,5.183039,1.159949,1000,3.791335841471499,3.8602819442749023,kalman_baseline
932,soldier_caught,0,24,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.8457994,3.0743704,1000,3.2756202042102815,5.105088710784912,kalman_baseline
933,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,6.152915,2.1609263,1000,1.0966233491897583,2.485877275466919,kalman_baseline
934,unsafe_intercept,0,23,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.0448284,1.6231498,1000,2.3582599392304053,3.062870740890503,kalman_baseline
935,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,4.3403444,2.0763407,1000,1.1972938999533653,1.9401226043701172,kalman_baseline
936,intercepted,1,13,1,7,13,12.0,18.0,15.0,2.5,2.0,3.2523174,2.4104335,1000,1.9813230804034643,2.476294994354248,kalman_baseline
937,soldier_caught,0,31,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.8137327,2.631088,1000,2.7636854493618013,1.8674468994140625,kalman_baseline
938,intercepted,1,19,1,15,19,12.0,18.0,15.0,2.5,2.0,14.425584,2.201511,1000,0.862963753938675,2.626539707183838,kalman_baseline
939,soldier_caught,0,18,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.7458603,4.940928,1000,2.122470182180405,3.1059675216674805,kalman_baseline
940,soldier_caught,0,26,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.3730819,3.2851975,1000,3.6736032524529625,3.4575183391571045,kalman_baseline
941,unsafe_intercept,0,17,1,14,-1,12.0,18.0,15.0,2.5,2.0,2.4666233,2.1768875,1000,1.0619693621993065,0.5496543049812317,kalman_baseline
942,soldier_caught,0,15,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8453765,4.5829697,1000,2.2633269173758372,4.729708671569824,kalman_baseline
943,intercepted,1,21,1,17,21,12.0,18.0,15.0,2.5,2.0,13.281826,0.9658839,1000,0.7238194286823273,1.3621840476989746,kalman_baseline
944,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.8450185,3.208335,1000,0.9736527027562261,2.491748809814453,kalman_baseline
945,intercepted,1,13,1,8,13,12.0,18.0,15.0,2.5,2.0,7.1455336,2.2380884,1000,1.8077177703380585,4.046937465667725,kalman_baseline
946,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,3.9254894,1.4351145,1000,0.7563785910606384,0.7171162366867065,kalman_baseline
947,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.4974915,2.9247925,1000,1.083983764052391,1.9230420589447021,kalman_baseline
948,intercepted,1,23,1,11,23,12.0,18.0,15.0,2.5,2.0,2.2793734,1.7779763,1000,2.3913140342785764,3.1878955364227295,kalman_baseline
949,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,7.5939035,1.7085919,1000,1.2587741255760192,2.658442735671997,kalman_baseline
950,soldier_caught,0,15,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.9519653,4.329798,1000,1.9419704228639603,4.8710856437683105,kalman_baseline
951,unsafe_intercept,0,28,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.0475764,1.0136709,1000,2.6683694895576027,1.4624520540237427,kalman_baseline
952,intercepted,1,21,1,12,21,12.0,18.0,15.0,2.5,2.0,3.4986336,2.34139,1000,2.518665987253189,2.574850082397461,kalman_baseline
953,soldier_caught,0,20,1,14,-1,12.0,18.0,15.0,2.5,2.0,0.08297028,5.1628933,1000,2.308693127972739,4.655818462371826,kalman_baseline
954,intercepted,1,12,1,7,12,12.0,18.0,15.0,2.5,2.0,2.3609858,2.3025577,1000,1.9574366031835477,3.775808095932007,kalman_baseline
955,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,5.305338,2.2204332,1000,0.6633689602216085,0.18583428859710693,kalman_baseline
956,intercepted,1,17,1,16,17,12.0,18.0,15.0,2.5,2.0,7.0356073,0.45867842,1000,0.6255858987569809,0.44884732365608215,kalman_baseline
957,intercepted,1,14,1,8,14,12.0,18.0,15.0,2.5,2.0,2.1922526,1.7393241,1000,1.6577689658318246,2.1373229026794434,kalman_baseline
958,unsafe_intercept,0,11,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.3364117,1.6237066,1000,0.5697639584541321,0.554515540599823,kalman_baseline
959,soldier_caught,0,57,1,17,-1,12.0,18.0,15.0,2.5,2.0,1.387642,3.8211894,1000,2.978059331818325,4.891490936279297,kalman_baseline
960,soldier_caught,0,22,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.6991467,3.6155763,1000,2.107036054134369,1.716862678527832,kalman_baseline
961,intercepted,1,11,1,10,11,12.0,18.0,15.0,2.5,2.0,9.268957,1.7136666,1000,0.4947887659072876,0.46512067317962646,kalman_baseline
962,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,3.2590377,1.6676068,1000,1.02183997631073,0.48251038789749146,kalman_baseline
963,soldier_caught,0,16,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.9230442,3.0385175,1000,0.862765351931254,0.5421474575996399,kalman_baseline
964,intercepted,1,40,1,12,40,12.0,18.0,15.0,2.5,2.0,2.0156298,1.6682893,1000,2.3556100479487716,2.8527719974517822,kalman_baseline
965,soldier_caught,0,15,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8182114,3.4554167,1000,1.624186110496521,3.6934847831726074,kalman_baseline
966,soldier_caught,0,16,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.9364707,3.0003192,1000,2.5879204720258713,2.1774277687072754,kalman_baseline
967,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,2.2458003,0.6763755,1000,0.4621959626674652,0.32665881514549255,kalman_baseline
968,intercepted,1,31,1,9,31,12.0,18.0,15.0,2.5,2.0,2.3346555,2.1925113,1000,2.4406738216462345,2.800931215286255,kalman_baseline
969,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.0305445,4.0543675,1000,1.260638675093651,1.8147751092910767,kalman_baseline
970,intercepted,1,19,1,8,19,12.0,18.0,15.0,2.5,2.0,2.7008493,1.596677,1000,2.5972825611631074,2.1668059825897217,kalman_baseline
971,intercepted,1,15,1,9,15,12.0,18.0,15.0,2.5,2.0,2.9971263,2.392922,1000,2.5487010138375417,4.961683750152588,kalman_baseline
972,intercepted,1,18,1,17,18,12.0,18.0,15.0,2.5,2.0,6.1179934,2.4354222,1000,0.7419380247592926,0.5907804369926453,kalman_baseline
973,unsafe_intercept,0,13,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.884484,0.21586734,1000,1.2133117020130157,1.4344898462295532,kalman_baseline
974,soldier_caught,0,32,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8606329,3.5437257,1000,2.6503729018427076,2.6677427291870117,kalman_baseline
975,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,6.017089,2.421018,1000,0.4681556820869446,0.5611799359321594,kalman_baseline
976,soldier_caught,0,15,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.316097,2.9010708,1000,1.5221141874790192,2.3408823013305664,kalman_baseline
977,soldier_caught,0,20,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.9502746,2.5146601,1000,1.803639637099372,2.3153135776519775,kalman_baseline
978,soldier_caught,0,34,1,16,-1,12.0,18.0,15.0,2.5,2.0,1.9035075,2.839643,1000,2.6302787912519356,2.6184914112091064,kalman_baseline
979,soldier_caught,0,11,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.1254483,4.3704658,1000,1.5554202914237976,1.753639578819275,kalman_baseline
980,soldier_caught,0,24,1,8,-1,12.0,18.0,15.0,2.5,2.0,0.16134647,3.056089,1000,2.2744522585588345,2.9175939559936523,kalman_baseline
981,soldier_caught,0,15,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.0193619,2.6582503,1000,2.064663289114833,4.249602794647217,kalman_baseline
982,intercepted,1,23,1,7,23,12.0,18.0,15.0,2.5,2.0,2.2209768,2.2171795,1000,2.278741403537638,2.8317954540252686,kalman_baseline
983,soldier_caught,0,20,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.96705544,3.043717,1000,2.103632179173556,3.0391993522644043,kalman_baseline
984,intercepted,1,24,1,9,24,12.0,18.0,15.0,2.5,2.0,5.2042985,0.58605826,1000,3.540373222902417,3.4386587142944336,kalman_baseline
985,unsafe_intercept,0,17,1,14,-1,12.0,18.0,15.0,2.5,2.0,2.3591192,0.6116177,1000,0.9972964078187943,1.3647111654281616,kalman_baseline
986,soldier_caught,0,20,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.33115777,5.352135,1000,1.8858424954944186,2.1225738525390625,kalman_baseline
987,soldier_caught,0,26,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.2626988,3.1353867,1000,2.8332341856190135,2.8601865768432617,kalman_baseline
988,intercepted,1,25,1,7,25,12.0,18.0,15.0,2.5,2.0,2.0156868,2.4275568,1000,3.53606347504415,1.3842560052871704,kalman_baseline
989,unsafe_intercept,0,15,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.7461975,1.6352943,1000,1.0462047338485718,1.5676765441894531,kalman_baseline
990,soldier_caught,0,9,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.3678167,4.487377,1000,0.6717288096745809,0.7110642790794373,kalman_baseline
991,intercepted,1,15,1,10,15,12.0,18.0,15.0,2.5,2.0,13.236845,2.4872046,1000,1.681043565273285,3.5694057941436768,kalman_baseline
992,soldier_caught,0,24,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.2670848,3.8717036,1000,2.45068942416798,3.0188186168670654,kalman_baseline
993,intercepted,1,23,1,8,23,12.0,18.0,15.0,2.5,2.0,2.3984566,2.2110484,1000,2.7144284583628178,3.2142295837402344,kalman_baseline
994,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,7.779882,1.7250438,1000,1.0174335315823555,1.5096797943115234,kalman_baseline
995,intercepted,1,8,1,7,8,12.0,18.0,15.0,2.5,2.0,8.339971,1.591,1000,0.65520940721035,0.23255452513694763,kalman_baseline
996,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.2324439,2.4858797,1000,0.9566681087017059,0.7936586141586304,kalman_baseline
997,intercepted,1,20,1,11,20,12.0,18.0,15.0,2.5,2.0,2.6789234,1.9141477,1000,2.151449051499367,1.9999109506607056,kalman_baseline
998,intercepted,1,12,1,8,12,12.0,18.0,15.0,2.5,2.0,6.710203,0.9573132,1000,1.0046198427677155,1.2497199773788452,kalman_baseline
999,soldier_caught,0,21,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.158788,2.294565,1000,2.3270199477672575,2.5861644744873047,kalman_baseline
