seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
61,soldier_caught,0,33,29.069244,1,28,-1,0.5286919,10.396059,0.5286919,20.693964,12.0,18.0,15.0,2.5,2.0
62,soldier_caught,0,14,-33.616196,0,-1,-1,1.0192362,32.766655,1.0192362,36.054886,12.0,18.0,15.0,2.5,2.0
63,soldier_caught,0,18,28.72017,0,-1,-1,1.4749093,22.229454,1.4749093,47.056522,12.0,18.0,15.0,2.5,2.0
64,soldier_caught,0,17,-15.227509,1,7,-1,1.9121977,7.5398893,1.9121977,40.55307,12.0,18.0,15.0,2.5,2.0
65,soldier_caught,0,16,-96.407394,0,-1,-1,1.7243127,24.448732,1.7243127,42.193806,12.0,18.0,15.0,2.5,2.0
66,soldier_caught,0,35,-123.543015,0,-1,-1,1.3139348,19.620077,1.3139348,60.99072,12.0,18.0,15.0,2.5,2.0
67,intercepted,1,19,325.38696,1,8,19,2.7452273,0.56058466,4.5610094,0.56058466,12.0,18.0,15.0,2.5,2.0
68,soldier_caught,0,28,-44.78979,0,-1,-1,1.5773363,19.369253,1.5773363,52.684937,12.0,18.0,15.0,2.5,2.0
69,soldier_caught,0,12,99.33977,1,7,-1,1.9055138,6.8263206,1.9055138,14.868147,12.0,18.0,15.0,2.5,2.0
70,soldier_caught,0,18,0.26139832,1,6,-1,1.6304463,4.448122,1.6304463,26.530033,12.0,18.0,15.0,2.5,2.0
71,soldier_caught,0,34,-36.40886,1,8,-1,1.6576617,10.939152,1.6576617,16.169235,12.0,18.0,15.0,2.5,2.0
72,soldier_caught,0,14,52.872543,0,-1,-1,1.5307746,27.715363,1.5307746,27.715363,12.0,18.0,15.0,2.5,2.0
73,soldier_caught,0,36,-113.22085,1,9,-1,1.660709,12.305018,1.660709,34.406685,12.0,18.0,15.0,2.5,2.0
74,soldier_caught,0,36,-7.118622,1,31,-1,1.4700202,11.077628,1.4700202,17.024914,12.0,18.0,15.0,2.5,2.0
75,soldier_caught,0,15,73.97798,0,-1,-1,0.4291496,21.564013,0.4291496,23.007988,12.0,18.0,15.0,2.5,2.0
76,soldier_caught,0,17,46.016663,0,-1,-1,1.9496619,34.52749,1.9496619,45.336876,12.0,18.0,15.0,2.5,2.0
77,soldier_caught,0,14,-84.69591,1,5,-1,0.80620164,5.494704,0.80620164,37.82123,12.0,18.0,15.0,2.5,2.0
78,intercepted,1,31,347.9838,1,29,31,2.762594,1.5185072,8.146297,1.5185072,12.0,18.0,15.0,2.5,2.0
79,soldier_caught,0,19,-19.897438,0,-1,-1,1.0153357,19.730846,1.0153357,39.3443,12.0,18.0,15.0,2.5,2.0
80,soldier_caught,0,35,-68.657166,1,11,-1,1.8098749,2.9097958,1.8098749,51.803444,12.0,18.0,15.0,2.5,2.0
81,soldier_caught,0,23,-3.8576965,0,-1,-1,0.91085327,26.143927,0.91085327,51.124977,12.0,18.0,15.0,2.5,2.0
82,soldier_caught,0,14,67.2892,1,7,-1,1.4030408,4.8096256,1.4030408,16.154621,12.0,18.0,15.0,2.5,2.0
83,soldier_caught,0,23,39.786453,0,-1,-1,0.37698296,23.155224,0.37698296,39.543186,12.0,18.0,15.0,2.5,2.0
84,soldier_caught,0,30,155.89859,1,21,-1,1.4269257,3.5546584,1.4269257,7.8020024,12.0,18.0,15.0,2.5,2.0
85,soldier_caught,0,25,-79.10928,0,-1,-1,0.53977704,16.101086,0.53977704,35.24709,12.0,18.0,15.0,2.5,2.0
86,soldier_caught,0,19,-16.680138,0,-1,-1,1.8943553,26.858902,1.8943553,42.624317,12.0,18.0,15.0,2.5,2.0
87,intercepted,1,9,282.30908,1,8,9,21.88702,2.0082958,21.88702,2.0082958,12.0,18.0,15.0,2.5,2.0
88,soldier_caught,0,21,-68.11641,0,-1,-1,1.899385,11.838616,1.899385,47.947166,12.0,18.0,15.0,2.5,2.0
89,soldier_caught,0,89,175.49487,1,10,-1,1.0969788,3.072306,1.0969788,11.590551,12.0,18.0,15.0,2.5,2.0
90,soldier_caught,0,27,28.740845,1,9,-1,1.951076,3.3175437,1.951076,14.812081,12.0,18.0,15.0,2.5,2.0
91,soldier_caught,0,21,138.842,1,9,-1,0.89061856,3.0296922,0.89061856,14.16003,12.0,18.0,15.0,2.5,2.0
92,intercepted,1,9,276.2166,1,8,9,20.272324,1.8317401,20.272324,1.8317401,12.0,18.0,15.0,2.5,2.0
93,soldier_caught,0,18,-35.375656,1,5,-1,1.6224631,8.951978,1.6224631,36.371822,12.0,18.0,15.0,2.5,2.0
94,intercepted,1,13,323.03876,1,11,13,5.6695585,2.1688898,5.6912374,2.1688898,12.0,18.0,15.0,2.5,2.0
95,soldier_caught,0,17,32.360535,1,14,-1,1.7913234,19.396893,1.7913234,28.769993,12.0,18.0,15.0,2.5,2.0
96,soldier_caught,0,74,-20.761795,1,57,-1,0.2842345,10.4496155,0.2842345,26.42935,12.0,18.0,15.0,2.5,2.0
97,soldier_caught,0,36,-126.714516,0,-1,-1,1.4897476,27.619514,1.4897476,61.903843,12.0,18.0,15.0,2.5,2.0
98,soldier_caught,0,53,-133.87299,1,15,-1,0.98339564,17.625635,0.98339564,61.161804,12.0,18.0,15.0,2.5,2.0
99,soldier_caught,0,12,-18.985527,0,-1,-1,0.46425483,25.33146,0.46425483,25.33146,12.0,18.0,15.0,2.5,2.0
